title	author	WD_signature	storage	publisher	year	pages
II wojna światowa : historia, która nie chce przeminąć : dyskusje o polskim doświadczeniu w wieku XX i polityce pamięci			magazyn	Ośrodek Badań nad Totalitaryzmami im. Witolda Pileckiego	2017	174
Nowe ruchy społeczne		HM881 .N69 2017		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej	2017	348
Organizers of life : De Stijl, the Polish avant-garde and design		NK1471.P6 O7413 2017		Muzeum Sztuki	2017	255
Pod czerwoną gwiazdą : aspekty sowieckiej obecności w Europie Środkowo-Wschodniej w 1945 roku		DJK45.R9 P64 2017		Instytut Pamięci Narodowej Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu	2017	328
Wanda Czełkowska - Retrospekcja		NB955.P63 C942 2017		Muzeum Narodowe	2017	137
Architektura w mieście, architektura dla miasta : społeczne i kulturowe aspekty funkcjonowania architektury na ziemiach polskich lat 1815-1914		NA1455.P6 A755 2017		Instytut Historii PAN	2017	244
Wschód muzułmański w ujęciu interdyscyplinarnym : ludzie, teksty, historia		DS35.62 .W73 2017		Alter Studio	2017	406
Pozyskiwanie informacji w walce z terroryzmem		HV8079.T47 P69 2017	magazyn	Difin	2017	166
Sytuacja demograficzna województwa łódzkiego jako wyzwanie dla polityki społecznej i gospodarczej. T. 2		HB3608.7.L63 S96 2017		Rządowa Rada Ludnościowa	2017	214
Ośrodki kultury dawnej Słowiańszczyzny i ich znaczenie dziejowe		DJK24 .O87 2017		"Wydawnictwo ""Scriptum"" Tomasz Sekunda"	2017	275
Stare dylematy i nowe wyzwania w psychoterapii		RC454 .S73 2017		Wydawnictwo Akademii Pedagogiki Specjalnej	2017	328
Gospodarka cyfrowa 2016 : zarządzanie, innowacje, społeczeństwo i technologie : praca zespołowa		HF5548.2 .G67 2017	magazyn	Wydział Zarządzania, Politechnika Warszawska	2017	165
Zasady good governance.			magazyn	Akademia Finansów i Biznesu Vistula	2017	240
Marketing przyszłości : trendy, strategie, instrumenty. Partnerstwo i komunikacja podmiotów w regionie			magazyn	Wydawnictwo Naukowe Uniwersytetu Szczecińskiego	2017	382
Nowa jakość zarządzania : monografia		TS156 .N69 2017		Katedra Zarządzania Jakością i Wiedzą. Wydział Ekonomiczny. Uniwersytet Marii Curie-Skłodowskiej	2017	276
Muzeum Zamek Górków w Szamotułach : album		AM101.S94 M89 2017		Muzeum - Zamek Górków	2017	159
Poezja Wacława Rolicza-Liedera		PG7158.L5122 P645 2017		Wydawnictwo Uniwersytetu Jagiellońskiego	2017	300
Epistolografia w dawnej Rzeczypospolitej. T. 7, Literatura, historia, język		PG7100 .E65 2011 t.7		Collegium Columbinum	2017	357
Relacja Warszawa - Zakopane		N7255.P6 R45 2017		Muzeum Tatrzańskie im. Dra Tytusa Chałubińskiego	2017	270
Rola środków probacyjnych i oddziaływań terapeutycznych w procesie readaptacji osób niedostosowanych społecznie		HV9377.7.A5 R65 2017		Wydawnictwo Politechniki Częstochowskiej	2017	165
International trends in preparation of early childhood teachers in a changing world		LB1775.6 .I58 2017		Wydawnictwo Akademii Pedagogiki Specjalnej	2017	301
"Literackie doświadczenie nowoczesności : antologia artykułów z ""New Literary History"""		PN771 .L48 2017		Instytut Badań Literackich PAN Wydawnictwo IBL	2017	292
Uwarunkowania i kierunki rozwoju współczesnej gospodarki miejskiej w Polsce		HT321 .U89 2017		Oficyna Wydawnicza SGH - Szkoła Główna Handlowa w Warszawie	2017	167
Pedagogika dialogu : emancypacyjny potencjał dialogu		LB1033.5 .P436 2017		Wydawnictwo Akademii Pedagogiki Specjalnej	2017	276
Psychologia wieku rozwojowego : norma, nietypowość, patologia		BF721 .P793 2017		volumina.pl Daniel Krzanowski	2017	182
Więcej niż partia : PZPR a polityka, gospodarka i społeczeństwo 1948-1990		JN6769.A574 W54 2017		Instytut Pamięci Narodowej. Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu. Oddział w Katowicach	2017	663
Odpowiedzialność i sankcje w prawie podatkowym		KKP3693 .O37 2017		"TNOiK ""Dom Organizatora"""	2017	192
Dyskursy wyzerowane : inspiracje, badania, działania		LC191 .D976 2017		Akademia Ignatianum	2017	330
Rynek kolejowy : współczesne prawne i sektorowe uwarunkowania ochrony konkurencji i konsumenta		K4064.8 .R94 2017		Wydawnictwo Ius Publicum	2017	391
Spadkobiercy Reformacji : Ewangelicy w Lublinie i na Lubelszczyźnie (historia, kultura, ekonomia, literatura)		BX8025.5 .S73 2017		Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego Jana Pawła II	2017	422
Cudzoziemcy w Japonii (XVI-XX wiek) : spotkania międzykulturowe		DS830 .C84 2017		Polska Fundacja Japonistyczna	2017	293
Sensei Hidetaka Nishiyama's legacy : the educational value of traditional karate-do			magazyn	Gdańsk University Press	2017	128
Szkice językowe i literacko-kulturowe		PG3802.A2 S95 2017		Uniwersytet Warszawski. Katedra Ukrainistyki	2017	264
Montages : Debora Vogel and the new legend of the city		NX571.P6 M6613 2017		Muzeum Sztuki	2017	463
Pogranicza kulturowe w perspektywie współczesności : praca zbiorowa		HM1271 .P63 2017		Wydawnictwo Naukowe UKSW	2017	456
Zarządzanie ryzykiem bankowym		HG1615 .Z377 2017		Wydawnictwo Poltext	2017	434
Księga Edenu : 1992-2017		DK4800.D97 K75 2017		Wojciech Altmajer	2017	339
Przetoki przewodu pokarmowego		RD540 .P79 2017		Termedia Wydawnictwa Medyczne	2017	412
Między Montmartre'em a Montparnasse'em : dzieła artystów z ziem polskich, działających w Paryżu w latach 1900-1939, z kolekcji prywatnych		N7255.P6 M538 2017		Muzeum Śląskie	2017	347
Bohaterowie drugiego planu w walce o niepodległość		DK4381 .B64 2017		Akademia Humanistyczna im. Aleksandra Gieysztora	2017	167
Osoba z niepełnosprawnością na ścieżkach życia : kultura, społeczeństwo, terapia		LC4015 .O76 2017		Impuls	2017	171
10 lat Wydziału Chemii Uniwersytetu Łódzkiego : 2007-2017			magazyn	Wydawnictwo Uniwersytetu Łódzkiego	2017	174
Jak to działa? 4 : książka nauczyciela : materiały dydaktyczne do techniki dla szkoły podstawowej			magazyn	Nowa Era	2017	104
W obliczu kryzysu : przyszłość polityki azylowej i migracyjnej Unii Europejskiej		JV7590 .W26 2017		Wydawnictwo KUL	2017	228
"Literatura i literackość (według) Edwarda Balcerzana : konteksty ""niewszystkie"""		PG7011.B35 L58 2017		Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza	2017	567
Straż nad Prosną : jednodniówka jubileuszowa Harcerstwa Ziemi Kaliskiej 1912-1937.			magazyn	"Oficyna Wydawnicza ""Impuls"""	2017	204
Bronisława Wajs - Papusza (1908-1987) : biografia i dziedzictwo : praca zbiorowa		PK2899.P37 Z54 2017		Archiwum Państwowe	2017	304
Pasaże Witolda Hulewicza		PG7158.H792 P37 2017		Wydawnictwo Uniwersytetu Jagiellońskiego	2017	266
Sobór oczami polskich komunistów : Sobór Watykański II w świetle dokumentów MSW i MSZ		BX830 1962 .S64 2017		Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu	2017	447
Innowacyjność w warunkach współczesnych miast		HT145.P7 I57 2017		Wydawnictwo Uniwersytetu Kazimierza Wielkiego	2017	310
Wykład prawa rynku finansowego		KKP961.5 .W94 2017		Wydawnictwo Uniwersytetu Gdańskiego	2017	150
Nie zapominamy : świadectwa pamięci o Romanie Brandstaetterze		PG7158.B6252 N53 2017		Instytut Pamięci Narodowej Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu. Oddział w Rzeszowie	2017	207
Kontrwywiad II RP : (1914) 1918-1945 (1948). T. 4		UB251.P7 K66 2013 t.4		"Agencja Bezpieczeństwa Wewnętrznego. Centralny Ośrodek Szkolenia im. gen. dyw. Stefana Roweckiego ""Grota"""	2017	415
"Tekst - tożsamość - twórca : rozważania o humanistyce współczesnej : eseje i rozprawy doktorantów Wydziału ""Artes Liberales"" Uniwersytetu Warszawskiego"		AZ103 .T45 2017		Wydział Artes Liberales	2017	239
Zarządzanie zasobami ludzkimi : wybrane aspekty		HF5549 .Z37787 2017		Difin	2017	334
Zakażenia w ciąży i okołoporodowe : postępowanie z matką i noworodkiem		RG580.V5 Z28 2017		Medical Tribune	2017	311
20 lat Konstytucji RP : konferencja w Sejmie 8 kwietnia 2017 roku		KKP2069 2017		Muzeum Historii Polskiego Ruchu Ludowego	2017	128
Wydarzenia Marca 1968 roku w pamięci i edukacji historycznej		DK4440 .W84 2017		Uniwersytet Opolski	2017	133
Wokół destrukcji i jej zapobiegania - począwszy od Holocaustu narodu asyryjskiego		HV6028 .W65 2017		Wydawnictwo Uczelni Nauk Społecznych	2017	192
Miasto na dyplomach : szkoła profesor Elżbiety Tarkowskiej		HN539.W3 M53 2017		Wydawnictwo Akademii Pedagogiki Specjalnej	2017	346
50 IT, 70 UP : 50 lat Instytutu Techniki w 70-letniej historii Uniwersytetu Pedagogicznego im. Komisji Edukacji Narodowej w Krakowie			magazyn	Wydawnictwo Naukowe Uniwersytetu Pedagogicznego	2017	115
Przeciwdziałanie krzywdzeniu dzieci : oparte na dowodach podejście do profilaktyki i interwencji		HV6626.5 .E73165 2017	magazyn	Państwowa Agencja Rozwiązywania Problemów Alkoholowych	2017	325
Tyflopedagogika wobec współczesnych potrzeb wspomagania rozwoju, rehabilitacji i aktywizacji społecznej		HV1626 .T845 2017		Wydawnictwo Akademii Pedagogiki Specjalnej	2017	333
Teoria i praktyka oddziaływań profilaktyczno-wspierających rozwój osób z niepełnosprawnością. T. 4.1, Wobec tradycji i innowacji		LC4036.P7 T47 2011 t.4 cz.1		Wydawnictwo Naukowe Uniwersytetu Pedagogicznego	2017	299
Bezdomność			magazyn	Klub Inteligencji Katolickiej	2017	138
Gospodarka miejska przyszłości : perspektywa województwa dolnośląskiego		HT145.P7 G685 2017		Wydawnictwo Uniwersytetu Ekonomicznego	2017	238
